■現在の評価額合計［円］,,"115,868"
■評価損益合計,前日比［円］,"560"
,前月比［円］,"560"
,評価損益［円］,"1,853"
■特定口座

銘柄コード,銘柄名,保有数量［株］,執行中［株］,(内訳　通常数量[株]),(内訳　積立数量[株]),平均取得価額［円］,取得総額［円］,現在値［円］,現在値（前日比）［円］,時価評価額［円］,評価損益［円］
"8729","ソニーフィナンシャルグループ","100","0","100","0","150.35","15,035","139.0","-1.0","13,900","-1,135"
"9432","ＮＴＴ","100","0","100","0","148.05","14,805","148.0","-1.5","14,800","-5"
"9434","ソフトバンク","100","0","100","0","218.05","21,805","216.1","0.8","21,610","-195"
,,,,,,特定口座合計,"51,645",,,"50,310","-1,335"


■NISA成長投資枠

銘柄コード,銘柄名,保有数量［株］,執行中［株］,(内訳　保護預り数量[株]),(内訳　通常数量[株]),(内訳　積立数量[株]),(内訳　共有口座数量[株]),平均取得価額［円］,保護預り平均取得価額［円］,共有口座平均取得価額［円］,取得総額［円］,現在値［円］,現在値（前日比）［円］,時価評価額［円］,評価損益［円］,保護預り評価損益［円］,共有口座評価損益［円］
"2337","いちご","1","0","-","1","0","-","381.00","-","-","381","445.0","-6.0","445","64","-","-"
"3635","コーエーテクモＨＤ","1","0","-","1","0","-","1,673.00","-","-","1,673","1,515.5","34.5","1,515","-158","-","-"
"4113","田岡化学","1","0","-","1","0","-","926.00","-","-","926","742.0","-8.0","742","-184","-","-"
"4595","ミズホメディー","1","0","-","1","0","-","1,876.00","-","-","1,876","1,693.0","-38.0","1,693","-183","-","-"
"7203","トヨタ自動車","1","0","-","1","0","-","3,099.00","-","-","3,099","2,905.5","-136.5","2,905","-194","-","-"
"7267","本田技研","5","0","-","5","0","-","1,323.80","-","-","6,619","1,402.0","-50.5","7,010","391","-","-"
"7841","遠藤製作所","1","0","-","1","0","-","1,222.00","-","-","1,222","1,065.0","-25.0","1,065","-157","-","-"
"7956","ピジヨン","19","0","-","19","0","-","1,618.15","-","-","30,744","1,857.0","-10.0","35,283","4,539","-","-"
"8729","ソニーフィナンシャルグループ","100","0","-","100","0","-","149.40","-","-","14,940","139.0","-1.0","13,900","-1,040","-","-"
"8918","ランド","100","0","-","100","0","-","8.90","-","-","890","10.0","0.0","1,000","110","-","-"
,,,,,,,,,,NISA成長投資枠口座合計,"62,370",,,"65,558","3,188"
